Category,Price,Rating,Stock,Discount,Net Price,SaleDate
Unknown,5548.0,1.870322015500628,Unknown,0.0,5548.0,2024-01-01
Unknown,3045.0,4.757798057831803,Unknown,38.0,1887.9,2024-01-02
Unknown,4004.0,3.03583314788547,In Stock,0.0,,2024-01-03
Unknown,4808.0,1.492084885301209,Unknown,33.0,3221.3599999999997,2024-01-04
Unknown,1817.0,3.03583314788547,Out of Stock,23.0,,2024-01-05
Unknown,3522.0,3.03583314788547,Unknown,0.0,,2024-01-06
C,667.0,3.668340748490816,In Stock,41.0,393.53000000000003,2024-01-07
A,7125.0,4.983998118378299,Out of Stock,7.0,6626.25,2024-01-08
A,2777.0,2.678384421487482,In Stock,6.0,2610.3799999999997,2024-01-09
Unknown,463.0,4.626187280896929,Unknown,3.0,449.11,2024-01-10
A,1151.0,2.947838084766442,Unknown,0.0,1151.0,2024-01-11
A,3772.0,4.890749963096654,In Stock,45.0,2074.6000000000004,2024-01-12
Unknown,7719.0,2.9822417824846874,In Stock,4.0,7410.24,2024-01-13
C,8416.0,1.2709427320459683,Unknown,29.0,5975.36,2024-01-14
B,8530.0,3.0985746187075898,Unknown,10.0,,2024-01-15
A,7936.0,3.032832041059039,In Stock,44.0,4444.160000000001,2024-01-16
B,9319.0,3.479063511857313,In Stock,28.0,6709.679999999999,2024-01-17
D,2066.0,3.1168924314498474,Unknown,30.0,,2024-01-18
B,1784.0,3.0985746187075898,Unknown,12.0,,2024-01-19
Unknown,5589.0,3.03583314788547,Unknown,39.0,,2024-01-20
Unknown,4176.0,2.264050691550675,In Stock,42.0,2422.0800000000004,2024-01-21
D,407.0,2.7742698776847985,In Stock,44.0,227.92000000000002,2024-01-22
Unknown,7011.0,3.03583314788547,In Stock,38.0,,2024-01-23
Unknown,8418.0,3.03583314788547,Unknown,0.0,,2024-01-24
Unknown,3405.0,3.03583314788547,In Stock,48.0,,2024-01-25
D,1732.0,3.1168924314498474,Unknown,0.0,,2024-01-26
B,5850.0,2.264393100564309,Out of Stock,43.0,3334.5000000000005,2024-01-27
Unknown,704.0,3.03583314788547,In Stock,47.0,,2024-01-28
Unknown,2343.0,1.8632245113185228,Out of Stock,17.0,1944.6899999999998,2024-01-29
Unknown,1910.0,3.8494948825094535,Out of Stock,14.0,1642.6,2024-01-30
Unknown,9307.0,3.03583314788547,Out of Stock,21.0,,2024-01-31
Unknown,2331.0,3.95225743506134,Unknown,43.0,1328.67,2024-02-01
D,6164.0,4.305789482267322,Out of Stock,1.0,6102.36,2024-02-02
B,8060.0,1.9058024886644624,Out of Stock,43.0,4594.200000000001,2024-02-03
Unknown,5607.0,4.789502194485456,Unknown,15.0,4765.95,2024-02-04
Unknown,4730.0,3.03583314788547,In Stock,30.0,,2024-02-05
Unknown,9230.0,3.03583314788547,Unknown,8.0,,2024-02-06
Unknown,1112.0,3.03583314788547,In Stock,38.0,,2024-02-07
Unknown,4390.0,3.03583314788547,In Stock,34.0,,2024-02-08
Unknown,8484.0,3.03583314788547,Out of Stock,36.0,,2024-02-09
D,6415.0,4.984170226351978,Out of Stock,12.0,5645.2,2024-02-10
Unknown,4589.0,3.03583314788547,Out of Stock,47.0,,2024-02-11
A,2260.0,3.089706066939416,In Stock,37.0,,2024-02-12
Unknown,1759.0,4.45534399355245,Unknown,37.0,1108.17,2024-02-13
Unknown,7190.0,1.9243054921681804,In Stock,0.0,7190.0,2024-02-14
Unknown,8675.0,2.778260648243727,Out of Stock,0.0,8675.0,2024-02-15
Unknown,5412.0,3.03583314788547,Out of Stock,24.0,,2024-02-16
A,6304.0,3.089706066939416,Unknown,31.0,,2024-02-17
C,9870.0,2.8036864935783328,Out of Stock,37.0,6218.1,2024-02-18
C,1134.0,2.886833030618752,In Stock,15.0,963.9,2024-02-19
B,9795.0,3.0985746187075898,In Stock,17.0,,2024-02-20
B,3445.0,3.0985746187075898,In Stock,3.0,,2024-02-21
Unknown,8421.0,1.338253810015713,In Stock,2.0,8252.58,2024-02-22
Unknown,3236.0,4.951183214408314,Out of Stock,2.0,3171.2799999999997,2024-02-23
Unknown,1624.0,3.03583314788547,Out of Stock,34.0,,2024-02-24
Unknown,806.0,4.170806833653488,Unknown,8.0,741.52,2024-02-25
Unknown,9888.0,3.03583314788547,Unknown,29.0,,2024-02-26
Unknown,8773.0,1.865998304807294,Out of Stock,17.0,7281.589999999999,2024-02-27
D,3977.0,3.1168924314498474,Out of Stock,32.0,,2024-02-28
D,2251.0,3.1168924314498474,Unknown,25.0,,2024-02-29
Unknown,7842.0,3.03583314788547,Unknown,30.0,,2024-03-01
A,5006.0,3.835636273769511,Out of Stock,0.0,5006.0,2024-03-02
Unknown,3182.0,3.03583314788547,Unknown,13.0,,2024-03-03
Unknown,1136.0,3.03583314788547,Unknown,19.0,,2024-03-04
Unknown,1066.0,3.03583314788547,Out of Stock,10.0,,2024-03-05
B,1029.0,4.464129272916702,Unknown,38.0,637.98,2024-03-06
Unknown,1788.0,3.03583314788547,Out of Stock,7.0,,2024-03-07
Unknown,6249.0,3.03583314788547,In Stock,16.0,,2024-03-08
D,8026.0,3.1168924314498474,Unknown,46.0,,2024-03-09
A,9516.0,1.6573504366560314,Unknown,5.0,9040.199999999999,2024-03-10
Unknown,859.0,1.2279456432932538,Unknown,49.0,438.09000000000003,2024-03-11
Unknown,6792.0,2.4937906347326475,Unknown,26.0,5026.08,2024-03-12
Unknown,8631.0,3.3084805096007277,In Stock,10.0,7767.900000000001,2024-03-13
Unknown,6491.0,4.645463936808445,Unknown,16.0,5452.44,2024-03-14
D,642.0,1.5983454005426196,Out of Stock,28.0,462.24,2024-03-15
B,4222.0,4.213202927733002,In Stock,20.0,3377.6000000000004,2024-03-16
A,1962.0,4.976201301561568,In Stock,6.0,1844.28,2024-03-17
Unknown,2119.0,3.661720155583746,Unknown,40.0,1271.3999999999999,2024-03-18
Unknown,1441.0,3.41463486419962,In Stock,43.0,821.3700000000001,2024-03-19
Unknown,6884.0,3.03583314788547,In Stock,49.0,,2024-03-20
D,2544.0,3.1168924314498474,Unknown,0.0,,2024-03-21
B,6114.0,3.0985746187075898,In Stock,44.0,,2024-03-22
Unknown,8117.0,3.03583314788547,In Stock,45.0,,2024-03-23
A,4077.0,3.089706066939416,Out of Stock,28.0,,2024-03-24
D,2877.0,3.1301621702727505,Out of Stock,49.0,1467.27,2024-03-25
B,8723.0,3.750973129417399,Unknown,41.0,5146.570000000001,2024-03-26
Unknown,8651.0,4.282273713935922,Unknown,2.0,8477.98,2024-03-27
Unknown,3282.0,3.03583314788547,Out of Stock,40.0,,2024-03-28
D,9493.0,2.7804614226232114,Out of Stock,34.0,6265.379999999999,2024-03-29
Unknown,6578.0,3.125260769236996,Unknown,28.0,4736.16,2024-03-30
Unknown,7187.0,3.03583314788547,In Stock,12.0,,2024-03-31
Unknown,1435.0,3.03583314788547,Unknown,23.0,,2024-04-01
Unknown,1561.0,2.8560894572721987,In Stock,6.0,1467.34,2024-04-02
Unknown,2778.0,4.647670825820734,Unknown,43.0,1583.4600000000003,2024-04-03
A,4752.0,4.589987920715608,In Stock,1.0,4704.48,2024-04-04
Unknown,4502.0,3.03583314788547,In Stock,40.0,,2024-04-05
Unknown,578.0,3.688162019635981,Out of Stock,36.0,369.92,2024-04-06
Unknown,3137.0,2.530595786094526,Out of Stock,49.0,1599.8700000000001,2024-04-07
C,7417.0,3.516107651706844,In Stock,43.0,4227.6900000000005,2024-04-08
C,8024.0,2.878007508713643,Unknown,2.0,,2024-04-09
Unknown,5250.0,3.03583314788547,Unknown,6.0,,2024-04-10
Unknown,6554.0,3.03583314788547,Unknown,29.0,,2024-04-11
Unknown,7267.0,3.03583314788547,Unknown,24.0,,2024-04-12
Unknown,6122.0,2.5677161236461608,In Stock,15.0,5203.7,2024-04-13
Unknown,1362.0,3.9136540296959086,Out of Stock,0.0,1362.0,2024-04-14
Unknown,6562.0,3.6193144852124495,Out of Stock,3.0,6365.139999999999,2024-04-15
C,6879.0,2.878007508713643,In Stock,8.0,,2024-04-16
D,6117.0,4.858685977036779,Unknown,4.0,5872.32,2024-04-17
C,3182.0,4.874851836156545,In Stock,49.0,1622.82,2024-04-18
Unknown,5427.0,3.03583314788547,Out of Stock,15.0,,2024-04-19
Unknown,251.0,3.03583314788547,Unknown,21.0,,2024-04-20
Unknown,6250.0,3.03583314788547,Unknown,33.0,,2024-04-21
D,4580.0,1.5320901750433862,Unknown,39.0,2793.7999999999997,2024-04-22
Unknown,9161.0,2.602243654999287,In Stock,49.0,4672.11,2024-04-23
Unknown,5821.0,1.168690444136142,Out of Stock,17.0,4831.429999999999,2024-04-24
Unknown,9990.0,3.03583314788547,Out of Stock,19.0,,2024-04-25
Unknown,4347.0,2.568984286425842,Unknown,3.0,4216.59,2024-04-26
D,2697.0,1.9174796816019517,Unknown,30.0,1887.8999999999999,2024-04-27
Unknown,9160.0,4.392384246470518,Out of Stock,29.0,6503.599999999999,2024-04-28
Unknown,2072.0,3.03583314788547,Unknown,10.0,,2024-04-29
C,2122.0,4.86095167402677,Out of Stock,29.0,1506.62,2024-04-30
Unknown,8731.0,3.03583314788547,Out of Stock,38.0,,2024-05-01
D,5031.0,3.1168924314498474,In Stock,4.0,,2024-05-02
A,6557.0,3.089706066939416,Out of Stock,32.0,,2024-05-03
Unknown,3981.0,3.03583314788547,Unknown,41.0,,2024-05-04
Unknown,9459.0,3.490351838179834,Out of Stock,42.0,5486.22,2024-05-05
Unknown,3763.0,3.03583314788547,Unknown,13.0,,2024-05-06
A,2466.0,3.089706066939416,Unknown,12.0,,2024-05-07
A,6348.0,3.089706066939416,Unknown,29.0,,2024-05-08
Unknown,6345.0,3.03583314788547,Out of Stock,4.0,,2024-05-09
Unknown,4781.0,3.236473832492795,Out of Stock,3.0,4637.57,2024-05-10
B,8345.0,3.0985746187075898,Out of Stock,41.0,,2024-05-11
A,5459.0,3.089706066939416,Out of Stock,33.0,,2024-05-12
A,8521.0,1.081564565083486,Out of Stock,40.0,5112.599999999999,2024-05-13
Unknown,2649.0,1.9854449132555,In Stock,25.0,1986.75,2024-05-14
Unknown,3101.0,1.9228916950178256,Unknown,6.0,2914.94,2024-05-15
D,357.0,3.1168924314498474,Out of Stock,32.0,,2024-05-16
B,4299.0,2.938430507798154,Unknown,29.0,3052.29,2024-05-17
Unknown,9799.0,3.03583314788547,Out of Stock,34.0,,2024-05-18
A,8832.0,3.089706066939416,Unknown,17.0,,2024-05-19
A,8251.0,4.052873659464407,In Stock,28.0,5940.719999999999,2024-05-20
A,1465.0,1.835877107956549,Unknown,0.0,1465.0,2024-05-21
A,9825.0,3.089706066939416,Out of Stock,22.0,,2024-05-22
Unknown,6442.0,3.03583314788547,In Stock,34.0,,2024-05-23
B,7624.0,3.0985746187075898,Unknown,5.0,,2024-05-24
B,4061.0,2.882858329954204,In Stock,28.0,2923.92,2024-05-25
Unknown,190.0,3.03583314788547,In Stock,0.0,,2024-05-26
Unknown,4643.0,3.193527428593516,In Stock,4.0,4457.28,2024-05-27
Unknown,5219.0,3.03583314788547,Out of Stock,49.0,,2024-05-28
Unknown,1197.0,1.3007193796865226,Out of Stock,0.0,1197.0,2024-05-29
B,8205.0,4.755317544912339,Out of Stock,35.0,5333.25,2024-05-30
Unknown,3125.0,3.295946652014962,Unknown,0.0,3125.0,2024-05-31
D,7239.0,3.6103940069190337,In Stock,48.0,3764.28,2024-06-01
Unknown,262.0,3.03583314788547,In Stock,36.0,,2024-06-02
Unknown,7826.0,3.576635436154038,In Stock,6.0,7356.44,2024-06-03
Unknown,8532.0,4.6303470713260335,In Stock,42.0,4948.56,2024-06-04
D,4625.0,1.718143163550882,In Stock,36.0,2960.0,2024-06-05
Unknown,4668.0,1.7613833832587744,Unknown,23.0,3594.36,2024-06-06
A,5268.0,3.089706066939416,Unknown,48.0,,2024-06-07
C,249.0,2.0809167459930693,Unknown,15.0,211.65,2024-06-08
